symbol	globalScore	gwasCredibleSets	geneBurden	eva	genomicsEngland	gene2Phenotype	uniprotLiterature	uniprotVariants	orphanet	clingen	cancerGeneCensus	intogen	evaSomatic	cancerBiomarkers	chembl	crisprScreen	crispr	slapenrich	progeny	reactome	sysbio	europepmc	expressionAtlas	impc	maxClinicalTrialPhase	isInMembrane	isSecreted	hasLigand	hasSmallMoleculeBinder	hasPocket	mouseOrthologMaxIdentityPercentage	hasHighQualityChemicalProbes	geneticConstraint	mouseKoScore	geneEssentiality	hasSafetyEvent	isCancerDriverGene	paralogMaxIdentityPercentage	tissueSpecificity	tissueDistribution
TLR3	0.32793431025275943	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.5319394479101685	No data	No data	No data	No data	No data	No data	0.1497518277254112	No data	No data	0.75	0	0	1	1	0	0	No data	-0.13575744946863932	-0.9107232780457447	0	-1	No data	0	-1	0
LRRC4C	0.3150996313189904	0.5183149670273705	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	0	0	0.984375	No data	-0.7479683267347363	No data	0	No data	No data	-0.09375	0.75	0
RALYL	0.30003190392498774	0.49352969960351356	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	0	0	0.7766300000000002	No data	-0.44373827880808503	No data	0	No data	No data	0	0.5	0
MS4A1	0.2817917007594853	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.4559480982087158	No data	No data	No data	No data	No data	No data	0.1515570444549857	No data	No data	1	1	0	0	0	0	0	No data	0.4158157949572827	-0.06622517707814995	0	No data	No data	0	1	0
HERPUD2	0.22962350612489926	0.37771323155040276	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	0	0	0.4704450000000001	No data	-0.6968118357991249	0	0	No data	No data	0	-1	-1
TRPM3	0.10811242061112035	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.8891836129692872	No data	No data	No data	0	0	0	0	0	0.8720199999999998	No data	-0.5555324025838717	-0.6628296517729345	0	No data	No data	0	1	0.5
TRPM7	0.08555773635950846	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.7036798982354514	No data	No data	No data	1	0	1	1	0	0.7131349999999997	No data	-0.42540112523442386	-0.8930764138609978	-1	No data	No data	0	1	-1
GDF15	0.08016310241396077	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6593110821897632	No data	No data	No data	0	1	0	0	0	0	No data	0.8838299645759533	-0.815694297506484	0	No data	No data	0	0.5	0
PRF1	0.08003087495484025	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6582235615407026	No data	No data	No data	0	0	1	1	0	0	No data	0.33704938528860184	-0.9272923129639482	0	No data	No data	0	0.75	0
ACE2	0.07918761691973465	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6512880843579499	No data	No data	No data	1	1	1	1	1	0.10559000000000011	No data	-0.8245467805792873	-0.9774516348243245	0	No data	No data	0	0.5	0
POMC	0.0789968509008895	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6497191062802261	No data	No data	No data	0	1	0	0	0	0	No data	0.5271931652427588	-0.8971786569831175	0	No data	No data	No data	1	0
CD8A	0.076891283583555	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6324016145064367	No data	No data	No data	1	0	0	0	0	0	No data	0.6109606167951656	-0.1065649757261597	0	No data	No data	No data	1	0
COMT	0.07600779291445577	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6251352391840299	No data	No data	1	0	0	1	1	0	0	No data	0.7577620337570328	-0.8300667445016885	0	-1	No data	0	-1	-1
IL1R1	0.07428555079162506	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.12158615952232422	No data	No data	No data	No data	No data	No data	0.012158615952232422	No data	No data	1	1	1	1	1	0	0	No data	-0.49010210460512604	-0.9171605445779452	0	No data	No data	0	-1	-1
SLC6A4	0.07428555079162506	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.12158615952232422	No data	No data	No data	No data	No data	No data	0.012158615952232422	No data	No data	1	0	0	1	1	0	0.6269849999999998	1	-0.591373202750573	-0.9473682708582948	0	-1	No data	0	0.75	0.5
IFNA1	0.0742650185774759	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6108015819336758	No data	No data	0.5	0	1	0	0	0	0	No data	No data	No data	0	No data	No data	-0.9867725	No data	No data
SLC6A2	0.07391597093694036	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.12158615952232422	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	1	1	0	0.7163699999999998	0	-0.527714107105647	-0.8541480885180219	0	-1	No data	-0.1693674999999999	0.5	0.5
TGFB1	0.07338286461990938	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6035462005561223	No data	No data	1	0	1	0	1	0	0.5	No data	-0.3610127109814545	-0.9811075698722849	0	-1	No data	0	-1	0
NPY	0.07241711930405241	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.5956033119933853	No data	No data	No data	0	1	0	0	0	0.6391750000000002	No data	0.20816836841008546	-0.25301748681048286	0	No data	No data	0	0.75	0
IL2	0.07195354062140327	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.5917905533334328	No data	No data	No data	0	1	1	1	0	0	0	-0.12533861221087728	-0.9039313606550076	0	No data	No data	No data	No data	No data
DPP4	0.0640054818114286	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.5264207872251829	No data	No data	1	1	1	1	1	1	0.22323999999999983	1	-0.35903313190247965	-0.8838622041060981	0	No data	No data	0	0.5	0
TNF	0.061048594641306804	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.5021015128790032	No data	No data	1	1	1	1	1	1	0	0	-0.5138570535528235	-0.9827310106118933	0	-1	No data	0	0.5	0
KIR3DL1	0.058393617040182894	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.4802653301131807	No data	No data	No data	1	0	0	0	0	No data	No data	0.8128776828505939	No data	0	No data	No data	-0.63964	0.5	1
CD40LG	0.058120243085036584	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.4780169331227641	No data	No data	0.75	1	1	0	1	1	0	No data	-0.4268597624505105	-0.7189994236083275	0	No data	No data	0	0.75	0.5
MSX2	0.05783924725815583	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.4757058491310935	No data	No data	No data	0	0	0	0	0	0.62547	No data	-0.11575328193373624	-0.3283682851036174	0	No data	No data	0	0.5	0
STAMBP	0.05783924725815583	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.4757058491310935	No data	No data	No data	1	0	1	1	0	0.17453000000000002	No data	-0.17972494269639505	-0.7602977216496604	0	No data	No data	0	-1	-1
RNASEL	0.05779672482446431	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.4753561182582821	No data	No data	No data	0	0	0	1	0	0	No data	0.2748489268597625	0	0	No data	No data	No data	-1	-1
CD24	0.05710008754878643	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.46962654115497726	No data	No data	No data	0	0	0	0	0	0	No data	No data	-0.08327841560306276	No data	No data	No data	No data	0.5	-1
LEP	0.05669928615785167	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.4663301018850029	No data	No data	No data	1	1	0	0	0	0.16167500000000032	No data	-0.09845801208585125	-0.9856360894896626	0	-1	No data	No data	0.75	0
TRPM2	0.051925969583200594	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.42707138532216377	No data	No data	No data	1	0	1	1	0	0.2648049999999998	No data	0.24744738487184836	-0.9126865396556557	0	No data	No data	0	0.5	0
GEM	0.051002019946488834	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.4194722503520185	No data	No data	No data	1	0	0	0	0	0.7804049999999997	No data	0.411648260054178	-0.05905544609812324	0	No data	No data	0	0.5	-1
NPPB	0.050093469470388945	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.41199976763137564	No data	No data	No data	0	1	0	0	0	0	No data	0.8802875599083142	-0.5954762182301893	0	No data	No data	0	1	0.5
IFNG	0.04739347788777511	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.3897933619580547	No data	No data	1	0	1	0	1	0	0	No data	-0.11189831214836421	-0.9682684717872542	0	No data	No data	No data	0.75	0.5
IGHE	0.044898819290653987	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.36927574213255904	No data	No data	1	1	1	0	0	0	0	No data	No data	0	No data	No data	No data	0	No data	No data
PRTN3	0.04434958256216421	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.36475847856697263	No data	No data	No data	0	1	1	1	1	0	No data	0.7166076265888728	0	0	No data	No data	0	1	0.5
IL6	0.04386185166949809	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.3607470771493912	No data	No data	1	0	1	1	1	0	0	No data	-0.1933736195040634	-0.9760230640906853	0	-1	No data	No data	0.5	0
WEE1	0.04166766475000224	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.34270072279363106	No data	No data	0.5	0	0	1	1	1	0.5278649999999999	1	-0.9221712856845176	0	-1	No data	No data	0	-1	-1
MPO	0.041392943724686604	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.34044124666250786	No data	No data	0.75	0	0	1	1	1	0.1610750000000003	No data	0.28776828505938745	-0.7300097756321411	0	No data	No data	-0.17785249999999983	1	0.5
BCR	0.040653784015317204	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.33436193868639164	No data	No data	1	1	0	1	1	0	0.69709	0	-0.7620337570327151	-0.6851665159830189	0	No data	No data	0	-1	-1
CRP	0.03972764603104237	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.32674480538838013	No data	No data	No data	0	1	0	0	1	0	No data	0.9482183788289227	-0.6781325815419675	0	No data	No data	0	1	0.5
NR3C1	0.03952297685210354	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.3250614790974362	No data	No data	1	0	0	1	1	1	0.5109400000000001	1	-0.7278599708272557	-0.9536043719349752	0	-1	No data	0	-1	-1
IGF1	0.03886306521236249	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.3196339564062545	No data	No data	0.5	0	1	0	0	0	0.5751649999999998	No data	-0.1297145238591373	-0.9488735079765309	0	-1	No data	0	0.5	0
MAP2K1	0.03880588474189369	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.3191636687461011	No data	No data	1	1	0	1	1	1	0.9491100000000003	1	-0.655344863513232	-0.8867641603473289	0	No data	-1	-0.5483450000000001	-1	-1
WASF3	0.037697145177839585	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.31004470678192675	No data	No data	No data	0	0	0	0	0	0.6812750000000001	No data	-0.5393832048343405	No data	0	No data	No data	0	0.5	0
TNFSF13B	0.037491823036348085	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.30835601012189445	No data	No data	1	1	1	0	0	0	0	No data	-0.8344446759741613	0	0	No data	No data	0	0.5	0
CD79A	0.03748959179884472	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.30833765904055327	No data	No data	No data	1	0	0	0	0	0	No data	-0.49583246509689516	0	0	No data	-1	0	0.75	0
IFNA17	0.03695798546847018	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.3039653988058105	No data	No data	0.5	0	1	0	0	0	0	No data	No data	No data	0	No data	No data	-0.8941800000000001	No data	No data
TRAC	0.03621882575910078	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.2978860908296943	No data	No data	0.75	1	0	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	1	-1
IFNA2	0.03621882575910078	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.2978860908296943	No data	No data	0.5	0	1	0	0	1	0	No data	No data	No data	0	No data	No data	-0.6542549999999998	No data	No data
FST	0.03547966604973137	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.2918067828535781	No data	No data	No data	0	1	0	0	0	0.8982550000000004	No data	-0.7704730152115025	-0.803729030924207	0	No data	No data	0	0.5	0
CXCL8	0.03542587164866061	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.29136434432864966	No data	No data	0.5	0	1	1	1	0	No data	No data	0.8795582413002709	No data	0	-1	No data	0	1	0
PRL	0.03431529384618214	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.2822302635513507	No data	No data	No data	0	1	0	0	0	0	No data	0.5506355490727235	-0.8750190691015405	0	-1	No data	0	1	0
TLN1	0.03400134663099257	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.2796481669013457	No data	No data	No data	1	0	0	0	0	0.9370350000000002	No data	-0.960200041675349	No data	0	No data	No data	-0.4047625	-1	-1
F2R	0.032338237284911406	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.2659697239550842	No data	No data	1	1	0	1	1	0	0	1	0.057616170035424075	-0.9505798210174293	0	No data	No data	0	0.5	0
GH1	0.03207634768252795	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.2638157814059294	No data	No data	No data	0	1	0	0	0	0	No data	0.002708897687018208	-0.9000861059140658	0	No data	No data	-0.8271899999999999	1	0
MAPK1	0.031845464145331806	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.2619168519710067	No data	No data	0.5	0	0	1	1	1	0.9305549999999997	1	-0.916024171702438	-0.9377228955783053	0	-1	-1	-0.6527774999999998	-1	-1
PWAR1	0.03178386750288435	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.26141024297299703	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
SLC52A2	0.03178386750288435	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.26141024297299703	No data	No data	No data	1	0	0	0	0	0.13483000000000017	No data	0.08012085851218997	-0.5757105661338946	0	No data	No data	-0.6573025000000001	-1	-1
MARK2	0.03178386750288435	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.26141024297299703	No data	No data	No data	1	0	1	1	0	0.8413699999999998	No data	-0.9364450927276516	-0.9004909995150298	0	No data	No data	-0.2100249999999999	-1	-1
NR1I2	0.03178386750288435	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.26141024297299703	No data	No data	No data	0	0	1	1	1	0	0	0.319128985205251	-0.011491042657841566	0	-1	No data	0	0.75	0.5
IL10	0.03170878687585457	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.26079273332120156	No data	No data	0.5	0	1	0	0	0	0	No data	0.16045009376953523	-0.9605896874209293	0	-1	No data	0	0.5	0
GHRL	0.03166067421798945	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.2603970249769777	No data	No data	No data	0	1	0	0	0	0.188035	No data	0.9929151906647218	-0.2948782721385751	0	No data	No data	No data	1	0
GRAP2	0.03104470779351495	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.25533093499688087	No data	No data	No data	1	0	0	0	0	0.3030299999999997	No data	-0.1789956240883518	0	0	No data	No data	0	1	0
CRK	0.03104470779351495	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.25533093499688087	No data	No data	No data	1	0	0	1	0	0.9835549999999997	No data	-0.7168160033340278	-0.9048745699675023	0	No data	No data	-0.021382499999999992	-1	-1
POLDIP2	0.03104470779351495	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.25533093499688087	No data	No data	No data	0	0	0	0	0	0.755435	No data	-0.5432381746197125	-0.773126029405938	No data	No data	No data	0	-1	-1
RNF19A	0.03104470779351495	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.25533093499688087	No data	No data	No data	0	0	0	0	0	0.6897350000000003	No data	-0.5313607001458638	-0.23767649866384855	0	No data	No data	0	-1	-1
MAPK14	0.03104470779351495	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.25533093499688087	No data	No data	0.75	0	0	1	1	1	0.7777799999999999	1	-0.532090018753907	-0.9329430481367057	0	No data	No data	-0.35416750000000013	-1	-1
AHSA1	0.03104470779351495	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.25533093499688087	No data	No data	No data	0	0	0	0	0	0.7485199999999999	No data	-0.9411335694936445	0	0	No data	No data	No data	-1	-1
AIMP2	0.03104470779351495	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.25533093499688087	No data	No data	No data	0	0	0	1	0	0.34375	No data	0.07157741196082523	-0.022060910089015118	0	No data	No data	No data	0.5	-1
TP53	0.030675127938830257	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.25229128100882275	No data	No data	0.75	0	0	1	1	0	0	No data	-0.5366743071473223	-0.9868896764809534	0	-1	-1	0	-1	-1
NFE2L2	0.02956638837477615	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.24317231904464845	No data	No data	1	1	0	1	1	0	0.049584999999999727	0	-0.30402167118149614	-0.9657679477859926	0	-1	-1	0	-1	-1
CD38	0.029525323946477843	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.24283457971264197	No data	No data	1	1	0	1	1	1	0	No data	0.26536778495519897	-0.29185805669110915	0	-1	No data	0	0.5	0
IGFBP1	0.029196808520091447	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.24013266505659034	No data	No data	No data	0	1	0	1	0	0	No data	0.3415294853094395	-0.8223337356483736	0	-1	No data	0	1	0.5
CRH	0.028543379021941196	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.23475845551894745	No data	No data	No data	0	1	0	0	0	0	No data	-0.23254844759324855	-0.3392064983271356	0	No data	No data	0	1	0.5
TPH2	0.02827285888337969	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.23253353008644506	No data	No data	1	No data	No data	1	1	0	0.6734699999999997	No data	-0.07397374453011041	-0.9435154410216628	0	No data	No data	-0.1224499999999999	No data	No data
GPR183	0.02808806895603734	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.231013703092416	No data	No data	No data	1	0	1	1	0	0.3490299999999998	0	0.18566367993331934	0	0	No data	No data	0	0.5	-1
TGM2	0.027875364878301202	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.22926429280943822	No data	No data	No data	1	1	1	1	1	0.20669499999999985	No data	0.3325692852677642	-0.9056782173592794	0	No data	No data	0	0.5	-1
GGH	0.027875364878301202	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.22926429280943822	No data	No data	No data	0	0	0	1	0	0	No data	-0.5039591581579496	0	0	-1	No data	No data	0.5	-1
GABPA	0.026979329391983227	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.22189474112824167	No data	No data	No data	0	0	0	0	0	0.8017600000000001	No data	-0.8479891644092519	-0.7511909974836967	-1	No data	No data	0	-1	-1
HLA-C	0.026578951216074804	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.21860178264117877	No data	No data	No data	1	0	0	0	0	No data	No data	0.1346113773702855	-0.6731233513695991	0	-1	No data	-0.6379774999999999	0.5	0
IL1B	0.026286935228264377	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.21620006200983657	No data	No data	1	0	1	1	1	0	0	No data	-0.3212127526568035	-0.9014571328360035	0	-1	No data	0	0.5	0
FABP2	0.02587058982792912	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.21277577916406737	No data	No data	No data	1	0	0	1	0	0	No data	0.6182538028755991	-0.7789362019303803	0	No data	No data	0	1	0.5
MAPK3	0.0257576626501088	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.21184699600104964	No data	No data	0.5	0	0	1	1	0	0.8416899999999998	1	-0.36111689935403213	-0.7405796430633149	0	-1	No data	-0.5448550000000001	-1	-1
ACE	0.025552340508617297	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.21015829934101732	No data	No data	1	0	1	1	1	1	0.16539	No data	0.21014794748906018	-0.9741743606474174	0	-1	No data	0	0.5	0
ESR2	0.025131430118559724	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.20669647118795118	No data	No data	1	0	0	1	1	1	0.43395999999999973	0	0.12346322150448019	-0.9721790661142345	0	-1	No data	0	0.5	0
LGALS9	0.025131430118559724	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.20669647118795118	No data	No data	No data	0	1	1	1	0	No data	No data	0.0983538237132735	0	0	No data	No data	-0.8802824999999999	0.5	-1
ASAH1	0.024926107977068224	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.2050077745279189	No data	No data	No data	0	1	1	1	0	0	No data	0.32735986663888306	-0.9274867519309518	0	No data	No data	0	0.5	-1
BDNF	0.024058621929266635	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.1978730311392825	No data	No data	No data	0	1	0	1	0	0.8785400000000003	No data	-0.47197332777662016	-0.8849788835810198	0	-1	No data	0	0.5	0.5
INS	0.02377876900667584	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.19557134710147547	No data	No data	No data	0	1	0	0	0	0.09091000000000023	No data	0.316941029381121	-0.9659480566852074	0	No data	No data	0	1	0
IL4	0.023722509583645038	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.19510863470680964	No data	No data	0.5	0	1	0	0	0	0	No data	0.6303396540946031	-0.7047157142716373	0	-1	No data	No data	No data	No data
GATA3	0.023653110699820915	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.19453785523571876	No data	No data	No data	0	0	0	0	0	0.81982	No data	-0.6419045634507189	-0.9689960211737705	0	-1	-1	-0.16103500000000004	0.5	0
MT-RNR2	0.023653110699820915	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.19453785523571876	No data	No data	No data	0	1	No data	No data	No data	No data	No data	No data	-0.8271669918441826	No data	No data	No data	No data	No data	No data
NPAS2	0.02328353084513621	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.19149820124766065	No data	No data	No data	0	0	0	0	0	0.3689300000000003	No data	-0.9550948114190456	-0.8624941365070105	0	No data	No data	0	-1	0
IGHG3	0.023211668095614185	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.19090715741664932	No data	No data	No data	1	1	No data	No data	No data	No data	No data	No data	-0.8263147183303832	No data	No data	No data	-0.6132275	1	0
